시장,종목명,종목코드,현재가,전일비,등락률,거래량,거래대금,시가총액
코스피,삼성전자,005930,"252,500","4,000",1.61,,,"14,761,853"
코스피,SK하이닉스,000660,"1,749,000","59,000",3.49,,,"12,776,311"
코스피,삼성전자우,005935,"194,000","6,900",3.69,,,"1,556,600"
코스피,SK스퀘어,402340,"1,014,000","14,000",1.40,,,"1,337,709"
코스피,삼성전기,009150,"1,368,000","51,000",3.87,,,"1,021,810"
코스피,LG에너지솔루션,373220,"366,500","1,000",0.27,,,"857,610"
코스피,현대차,005380,"362,000","-5,000",-1.36,,,"741,223"
코스피,삼성바이오로직스,207940,"1,400,000","-12,000",-0.85,,,"648,073"
코스피,KB금융,105560,"176,500",700,0.40,,,"626,024"
코스피,삼성물산,028260,"352,000","5,000",1.44,,,"570,830"
코스피,삼성생명,032830,"283,500","-2,000",-0.70,,,"567,000"
코스피,한화에어로스페이스,012450,"1,051,000","-12,000",-1.13,,,"541,931"
코스피,두산에너빌리티,034020,"84,000","-2,200",-2.55,,,"538,071"
코스피,신한지주,055550,"111,700",-500,-0.45,,,"524,376"
코스피,기아,000270,"120,800","-1,000",-0.82,,,"471,619"
코스피,HD현대중공업,329180,"442,500","-11,000",-2.43,,,"464,453"
코스피,삼성SDI,006400,"542,000","-5,000",-0.91,,,"436,774"
코스피,셀트리온,068270,"177,100",-400,-0.23,,,"411,965"
코스피,SK,034730,"550,000",0,0.00,,,"398,765"
코스피,하나금융지주,086790,"136,900",-700,-0.51,,,"370,958"
코스피,현대모비스,012330,"382,500","-12,000",-3.04,,,"343,564"
코스피,LG전자,066570,"199,500","-2,500",-1.24,,,"324,955"
코스피,NAVER,035420,"201,500","-4,500",-2.18,,,"306,470"
코스피,LS ELECTRIC,010120,"198,400","3,700",1.90,,,"297,600"
코스피,삼성화재,000810,"656,000","-5,000",-0.76,,,"292,887"
코스피,우리금융지주,316140,"36,150",-200,-0.55,,,"266,348"
코스피,효성중공업,298040,"2,788,000","99,000",3.68,,,"259,968"
코스피,POSCO홀딩스,005490,"326,000","-6,000",-1.81,,,"258,327"
코스피,HD현대일렉트릭,267260,"706,000","6,000",0.86,,,"254,493"
코스피,한화오션,042660,"81,700",-700,-0.85,,,"250,340"
코스피,KODEX 200,069500,"106,365","2,090",2.00,,,"247,565"
코스피,고려아연,010130,"1,135,000","-3,000",-0.26,,,"236,908"
코스피,HD한국조선해양,009540,"332,500","-6,500",-1.92,,,"235,321"
코스피,SK이노베이션,096770,"136,500","-5,200",-3.67,,,"230,757"
코스피,두산,000150,"1,386,000","97,000",7.53,,,"224,447"
코스피,한미반도체,042700,"224,500","2,000",0.90,,,"213,976"
코스피,메리츠금융지주,138040,"125,200","-1,300",-1.03,,,"209,519"
코스피,TIGER 미국S&P500,360750,"25,800",175,0.68,,,"204,852"
코스피,한국전력,015760,"31,000",-350,-1.12,,,"199,009"
코스피,HMM,011200,"20,400",-250,-1.21,,,"192,421"
코스피,LG화학,051910,"271,000",-500,-0.18,,,"191,305"
코스피,SK텔레콤,017670,"88,000",0,0.00,,,"189,015"
코스피,삼성중공업,010140,"20,300",-400,-1.93,,,"178,640"
코스피,KT&G,033780,"171,400",600,0.35,,,"177,931"
코스피,미래에셋증권,006800,"31,800",-250,-0.78,,,"172,681"
코스피,HD현대,267250,"218,000","-7,000",-3.11,,,"172,205"
